Date,Daily Confirmed,Total Confirmed,Daily Recovered,Total Recovered,Daily Deceased,Total Deceased
05-May,2971,49405,1295,14140,128,1694
06-May,3602,53007,1161,15301,91,1785
07-May,3344,56351,1475,16776,104,1889
08-May,3339,59690,1111,17887,97,1986
09-May,3175,62865,1414,19301,115,2101
10-May,4311,67176,1669,20970,112,2213
11-May,3592,70768,1579,22549,81,2294
12-May,3562,74330,1905,24454,120,2414
13-May,3726,78056,1963,26417,137,2551
14-May,3991,82047,1594,28011,97,2648
15-May,3808,85855,2234,30245,104,2752
16-May,4794,90649,4012,34257,120,2872
17-May,5049,95698,2538,36795,152,3024
18-May,4628,100326,2482,39277,131,3155
19-May,6154,106480,3032,42309,146,3301
20-May,5720,112200,3113,45422,134,3435
21-May,6023,118223,3131,48553,148,3583
22-May,6536,124759,3280,51833,142,3725
23-May,6667,131424,2576,54409,142,3867
24-May,7111,138537,3285,57694,156,4023
25-May,6414,144951,3012,60706,150,4173
26-May,5907,150858,3585,64291,173,4346
27-May,7246,158104,3434,67725,188,4534
28-May,7254,165358,3171,70896,176,4710
29-May,8138,173496,11735,82631,269,4979
30-May,8364,181860,4303,86934,205,5184
31-May,8789,190649,4928,91862,222,5406
01-Jun,7723,198372,3882,95744,201,5607
02-Jun,8812,207187,4531,100275,222,5829
03-Jun,9689,216876,3789,104064,259,6088
04-Jun,9847,226723,4390,108454,274,6362
05-Jun,9472,236195,4770,113224,286,6648
06-Jun,10408,246603,5433,118657,297,6945
07-Jun,10882,257485,5191,123848,261,7206
08-Jun,8536,266021,5171,129019,271,7477
09-Jun,9981,276002,5634,134653,272,7749
10-Jun,11156,287158,6275,140928,358,8107
11-Jun,11135,298293,6044,146972,394,8501
12-Jun,11306,309599,7263,154235,388,8889
13-Jun,12039,321638,8092,162327,309,9198
14-Jun,11405,333043,7358,169685,324,9522
15-Jun,10032,343075,10639,180324,396,9918
16-Jun,11086,354161,7226,187550,2004,11922
17-Jun,13108,367269,6890,194440,341,12263
18-Jun,13829,381098,10741,205181,343,12606
19-Jun,14740,395838,9029,214210,364,12970
20-Jun,15918,411753,13974,228184,308,13278
21-Jun,15151,426904,9075,237259,426,13704
22-Jun,13560,440464,10879,248138,312,14016
23-Jun,15656,456120,10462,258600,468,14484
24-Jun,16868,472988,13089,271689,424,14908
25-Jun,18205,491193,13983,285672,401,15309
26-Jun,18255,509448,10246,295918,381,15690
27-Jun,20142,529590,14229,310147,414,16104
28-Jun,19610,549200,11631,321778,384,16488
29-Jun,18339,567539,13497,335275,417,16905
30-Jun,18256,585795,12565,347840,506,17411
01-Jul,19429,605224,12064,359904,438,17849
02-Jul,21947,627171,19999,379903,378,18227
03-Jul,22718,649889,14417,394320,444,18671
04-Jul,24018,673907,14746,409066,611,19282
05-Jul,23942,697849,15829,424895,421,19703
06-Jul,22500,720349,15315,440210,473,20176
07-Jul,23147,743496,16836,457046,479,20655
08-Jul,25561,769057,19508,476554,492,21147
09-Jul,25790,794847,19408,495962,479,21626
10-Jul,27762,822609,20289,516251,520,22146
11-Jul,27757,850366,19981,536232,543,22689
12-Jul,29106,879472,18198,554430,500,23189
13-Jul,28178,907650,17683,572113,541,23730
14-Jul,29917,937567,20977,593090,587,24317
15-Jul,32607,970174,20646,613736,614,24931
16-Jul,35468,1005642,22867,636603,680,25611
17-Jul,34820,1040462,17476,654079,676,26287
18-Jul,37411,1077873,23583,677662,543,26830
19-Jul,40235,1118108,22730,700392,675,27505
20-Jul,36806,1154914,24303,724695,596,28101
21-Jul,39172,1194086,27589,752284,671,28772
22-Jul,45601,1239684,31875,784268,1130,29890
23-Jul,48443,1288127,33236,817594,755,30645
24-Jul,48888,1337015,32514,850108,763,31406
25-Jul,50072,1387087,36127,887233,703,32096
26-Jul,48932,1436019,31502,918735,704,32108
27-Jul,46484,1482503,34456,953201,640,33452
28-Jul,49632,1532125,35671,988770,770,34224
29-Jul,52479,1584600,32886,1021668,775,35003
30-Jul,54968,1639568,37425,1059093,784,35787
31-Jul,57486,1697054,36554,1095647,764,36551
01-Aug,55117,1752171,51368,1147015,854,37405
02-Aug,52672,1804843,40355,1187370,760,38165
03-Aug,50488,1855331,43070,1230440,806,38971
04-Aug,51282,1906613,51220,1281660,849,39820
05-Aug,56626,1963239,45540,1327200,919,40739
06-Aug,62170,2025409,50141,1377384,899,41638
07-Aug,61455,2086864,50387,1427669,937,42578
08-Aug,65156,2152020,52135,1479804,875,43453
09-Aug,62117,2214137,54474,1534278,1013,44466
10-Aug,53016,2267153,47362,1581640,887,45353
11-Aug,61252,2328405,56461,1638101,835,46188
12-Aug,67066,2395471,57759,1695860,950,47138
13-Aug,64142,2459613,54776,1750636,1006,48144
14-Aug,65610,2525222,56920,1807556,989,49133
15-Aug,63986,2589208,53116,1860672,952,50085
16-Aug,58096,2647304,57404,1918076,960,51045
17-Aug,54300,2701604,58172,1976248,880,51925
18-Aug,65024,2766626,60455,2036703,1099,53015
19-Aug,69196,2835822,59365,2096068,979,53994
20-Aug,68518,2904340,61873,2157941,981,54975
21-Aug,69029,2973369,62858,2220799,953,55928
22-Aug,70067,3043436,59101,2279900,918,56846
23-Aug,61749,3105185,58896,2336796,846,57692
24-Aug,59626,3164881,66305,2403101,854,58546
25-Aug,66873,3231754,64151,2467252,1066,59612
26-Aug,75995,3307749,56191,2523443,1017,60629
27-Aug,76827,3384576,59620,2583063,1066,61695
28-Aug,76657,3461233,64475,2647538,1019,62714
29-Aug,78479,3539712,64982,2712520,943,63657
30-Aug,79461,3619173,60422,2772942,960,64617
31-Aug,68766,3687939,64435,2837377,816,65433
01-Sep,78168,3766108,62145,2899522,1027,66460
02-Sep,82860,3848968,67874,2967396,1026,67468
03-Sep,84156,3933124,67491,3034887,1083,68569
04-Sep,87115,4020239,69625,3104512,1066,69635
05-Sep,90600,4110839,73161,3177673,1044,70679
06-Sep,91723,4202562,69624,3247297,1008,71687
07-Sep,75022,4277584,74123,3321420,1129,72816
08-Sep,89852,4337436,74607,3396027,1107,73923
09-Sep,95529,4462965,73057,3469084,1168,75088
10-Sep,96760,4559725,70899,3539983,1213,76301
11-Sep,97654,4657379,81455,3621438,1202,77503
12-Sep,94409,4751788,77860,3699298,1111,78614
13-Sep,93215,4845003,77746,3777044,1140,79754
14-Sep,81911,4926938,79211,3856276,1054,80808
15-Sep,91096,5018034,82839,3939115,1283,82091
16-Sep,97856,5115893,82923,4022050,1140,82230
17-Sep,96787,5212685,87788,4109839,1175,84404
18-Sep,92973,5305658,95515,4205354,1221,85625
19-Sep,92574,5398232,94389,4299743,1149,86774
20-Sep,87395,5485627,92926,4392669,1135,87909
21-Sep,74493,5560120,102070,4494739,1056,88965
22-Sep,83361,5643481,89653,4584392,1085,90050
23-Sep,86703,5730184,87458,4671850,1123,91173
24-Sep,85919,5816103,81141,4752991,1144,92317
25-Sep,85720,5901826,93325,4846327,1093,93410
26-Sep,88759,5990581,92359,4938688,1124,94536
27-Sep,82770,6073351,74691,5013379,1040,95576
28-Sep,69668,6143019,85194,5098573,775,96351
29-Sep,80500,6223519,86150,5184723,1178,97529
30-Sep,86748,6310267,85274,5270007,1179,98708
01-Oct,81784,6392051,78731,5348738,1099,99807
02-Oct,79883,6471934,76339,5425077,1068,100875
03-Oct,75479,6547410,81655,5506740,937,101812
04-Oct,74770,6622180,76713,5583453,903,102715
05-Oct,60130,6682312,75857,5669313,886,103601
06-Oct,71869,6754181,81945,5741258,990,104591
07-Oct,78809,6832990,83210,5824468,963,105554
08-Oct,70798,6903788,78754,5903213,967,106521
09-Oct,73305,6977093,82628,5985841,929,107450
10-Oct,74418,7051511,89022,6074863,921,108371
11-Oct,67789,7119300,71564,6146427,813,109184
12-Oct,54265,7173565,78365,6224792,710,109894
13-Oct,63714,7237276,74080,6298875,727,110621
14-Oct,67811,7305090,81582,6380456,690,111311
15-Oct,63441,7368531,70792,6451248,882,112193
16-Oct,62104,7430635,70386,6521634,840,113033
17-Oct,61893,7492727,72583,6594399,1032,114065
18-Oct,56520,7549247,66418,6660817,582,114647
19-Oct,45506,7594754,69800,6730617,589,115236
20-Oct,54404,7649158,61933,6792550,714,115950
